# Corrections found by diffing our OCR against an independent transcription
# of the same episode (scripts/subs/cross-check.py). One per line: what the
# OCR read, then what it should say. Matched whole-word and case-insensitively,
# and the replacement keeps the original's leading capital.
#
# British spellings are NOT in here. The other transcription is American and
# says pedophile, finalized and resynchronize; ours are right and stay.
abouti	about
ajenny	agency
allc	all
alstair	Alistair
alwaysy	always
andc	and
andl	and
anyg	any
anyonee	anyone
arrogants	arrogant
askc	ask
atic	attic
ats	at
azheimer's	alzheimer's
backi	back
bacterias	bacteria
batle	battle
batte	battle
bitlion	billion
butv	but
byi	by
camera'sg	camera's
can'tj	can't
candice	candace
ccan	can
chitl	chill
constiousness	consciousness
cooll	cool
darki	dark
dealv	deal
detalled	detailed
didl	did
don'tv	don't
don'ty	don't
downe	down
doy	do
drf	dr
eatl	eat
egot	got
ei'm	i'm
einches	inches
eis	is
emy	my
enot	not
ethe	the
ethey	they
everg	ever
ewent	went
fara	far
fightl	fight
fiul	fill
forl	for
fory	for
fultfil	fulfil
gentlemeny	gentlemen
gete	get
gett	get
gety	get
gobln's	goblin's
gotv	got
goty	got
havey	have
hec	he
hev	he
heyl	hey
hgh	high
hurryl	hurry
i'me	i'm
i'mg	i'm
i'mk	i'm
i'ml	i'm
i'mr	i'm
i'ull	i'll
ify	if
inertg	inert
inl	ill
irt	it
isi	is
it'i	it'll
it'llp	it'll
it'tl	it'll
it'tt	it'll
ite	it
ittle	little
iu	i
iwar	war
jjane	jane
jjust	just
jlacob	jacob
jointe	joint
journalst's	journalist's
juste	just
kitl	kill
kyou	you
liket	like
likey	like
litle	little
lne's	line's
lring	ring
lukel	luke
mety	met
mey	me
milutary	military
mnake	make
mtre	mitre
nobodye	nobody
noty	not
ocover	cover
offa	off
offv	off
ofice	office
ofr	of
ofs	of
ois	is
oldi	old
onel	one
oth	th
pened	opened
piti	pit
qulll	quill
r'll	i'll
renenbers	remembers
ris	is
stili	still
sutheen	slitheen
suzie's	she's
tak	talk
tanguska	Tunguska
temporalc	temporal
tfit	fit
thanky	thank
thatg	that
thati	that
thatr	that
thec	the
thef	the
thep	the
thes	the
thet	the
they'reg	they're
tilul	till
tnot	not
toc	to
tookt	took
toor	too
ttracking	tracking
tvo	two
twhat	what
tyou	you
ufe's	life's
uhat	what
uhere	where
unidentifed	unidentified
unrt	unit
unrt's	unit's
uodn	upon
upt	up
wak	walk
wasi	was
wasl	was
wass	was
we'reg	we're
we'tl	we'll
wec	we
wek	we
wellc	well
wev	we
whatl	what
whaty	what
whe	who
wheny	when
whoc	who
whthout	without
wiul	will
wmaria	maria
workv	work
wwe	we
wwe're	we're
wwell	well
wwhat	what
wwhat's	what's
wwho	who
wwhy	why
you'ret	you're
you'tl	you'll
you'tt	you'll
youa	you
youc	you
yourl	your
youv	you
thang	than
hars	Wars
pittnan	Pittman
